*Short Form	EN	HU	NL	ES	RO	PL	CS	BS	PT-BR	PT-PT	ET	FR-CA	FR-FR	KR	ZH-CN	ZH-TW	SR	RU	TR	FI	BG	UA	DE	CAT	IT	JP	LT	AR	KZ	NO	FIL	HIN	TH	ID	GE	LV	VN	GR	BRL	SK	SW	FA
Text Editor	Text Editor	Szövegszerkesztő	Teksteditor	Editor de Texto	Editor de Text	Edytor tekstu	Editor textu		Editor de Texto	Editor de Texto	Teksti Toimetaja	Éditeur de Texte	Éditeur de Texte	텍스트 편집	文字编辑器	文字編輯器	Editor teksta	Текстовый редактор	Yazı düzenleyicisi	Teksin muokkain	Текстов редактор	Текстовий редактор	Text Editor	Editor de text	Modifica il Testo	テキストエディタ	Teksto Redaktorius	محرر النص	Мәтіндік редактор	Tekst-redigering	Text editor	पाठ सपं ादक	พิมพ์ข้อความ	editor teks	ტექსტის რედაქტორი	Teksta Redaktors	Trình Soạn Thảo	Επεξεργαστής Κειμένου	Тэкставы рэдактар	Editor textu	Text ändrare	ویرایشگر متن
Paint	Paint	Paint	Schilderen	Pintar	Deseneaza	Farba	Malování		Pintar	Pintar	Värvi	Peinture	Peinture	페인트	绘画	繪畫	Oboji	Пейнт	Boya	Piirrä	Боядисвайте	Малювач	Paint	Pinta	Dipingi	ペイント	Dažymas	رسم	Бояу	Paint	Kulayan	रँगना	วาดรูป	melukis	ხატვა	Paint	Vẽ	Ζωγραφική	Фарба	Malovanie	Måla	نقاشی
Play	Play	Lejátszás	Spelen	Reproducir	Joaca	Graj	Hrát		Reproduzir	Reproduzir	Mängi	Jouer	Jouer	시작	游玩	游玩	Igraj	Играть	Oyna	Pelaa	Играйте	Грати	Spielen	Reprodueix	Riproduci	プレイ	Žaisti	لعب	Ойнау	Spill	Maglaro	खेलना	เล่น	bermain	ჩართვა	Spēlēt	Chơi	Παίξε	гуляць	Hrať	Spela	شروع
Enter password	Enter password	Írd be a jelszót	Voer wachtwoord in	Introducir contraseña	Introdu parola	Wpisz hasło	Vlož heslo		Inserir senha	Inserir Palavra-Passe	Sisesta Parool	Entrer le mot de passe	Entrez le mot de passe	패스워드를 입력하시오	输入密码	輸入密碼	Unesi šifru	Введите пароль	Şifre gir	Kirjoita salasana	Въведете паролата	Введіть пароль	Passwort eingeben	Introduir la contrasenya	Inserisci la Password	パスワードを入力してください	Įveskite Slaptažodį	أدخل كلمة المرور	Құпия сөзді енгізіңіз	Oppgi passord	Ilagay ang password	पास वर्ड दर्ज करें	ใส่รหัสผ่าน	masukkan password	შეიყვანეთ პაროლი	Ievadiet paroli	Nhập mật khẩu	Εισάγετε κωδικό πρόσβασης	Увядзіце пароль	Vložiť heslo	Skriv in lösenord	رمز را وارد کنید
Terminal	Terminal	Terminál	Terminal	Terminal	Terminal	Terminal	Terminál		Terminal	Terminal	Terminal	Terminal	Terminal	터미널	终端	終端	Terminal	Терминал	Terminal	Komentokehote	Терминал	Термінал	Konsole	Terminal	Terminal	ターミナル	Terminalas	صالة	Терминал	Terminal	Terminal	टर्मि नर्मि ल	เทอร์มินัล	Terminal	ტერმინალი	Terminālis	Terminal	Terminal	Тэрмінал	Terminal	Terminal	ترمینال
LED Display	LED Display	LED Monitor	LED Display	Pantalla LED	Display LED	Wyświetlacz LEDowy	LED Displej		Display LED	Display LED	LED ekraan	Écran LED	Écran DEL	LED 디스플레이	LED显示器	LED顯示器	LED	LED Дисплей	Led ekran	Led nättö	LED дисплей	LED Дисплей	LED Display	Pantalla LED	Display LED	LEDディスプレイ	LED ekranas	عرض LED	Жарықдиодты дисплей	LED display	LED display	नेतत्ृव मेंप्रदर्शनर्श	จอแสดงผล LED	menampilkan LED	LED ეკრანი	LED displejs	Màn Hình LED	LED Προβολής	Святлодыёдны дысплей	LED Displej	LED-skärm	نمایشگر LED
Password	Password	Jelszó	Wachtwoord	Contraseña	Parola	Hasło	Heslo		Senha	Palavra-Passe	Parool	Mot de passe	Mot de passe	패스워드	密码	密碼	Šifra	Пароль	Şifre	Salasana	Парола	Пароль	Passwort	Contrasenya	Password	パスワード	Slaptažodis	كلمه السر	Құпия сөз	Passord	Password	पासवर्ड	รหัสผ่าน	Password	პაროლი	Parole	Mật Khẩu	Κωδικός Πρόσβασης	Пароль	Heslo	Lösenord	رمز
Save file...	Save file...	Fájl mentése...	Bestand opslaan...	Guardar archivo...	Salvează fișierul...	Zapisz plik...	Uložit soubor...		Salvar Arquivo...	Guardar Ficheiro...	Salvesta Fail...	Enregistrer le fichier...	Enregistrer le fichier...	파일 저장...	储存文件...	儲存文件...	Sačuvaj fajl	Сохранить файл	Dosyayı kaydet	Tallenna tiedosto	Запишете файла...	Зберегти файл...	Speichere Datei...	Guarda fitxer	Salva il File...	ファイルを保存...	Išsaugoti Failą	احفظ الملف...	Файлды сақтау...	Lagre fil...	I-save ang file...	फाइल सरुक्षि त करें...	บันทึกไฟล์...	Simpan file...	ფაილის შენახვა...	Saglabā failu...	Lưu tệp...	Αποθήκευση Αρχείου	Захаваць файл...	Uložený súbor	Spara fil...	ذخیره فایل
File Name	File Name	Fájlnév	Bestandsnaam	Nombre del Archivo	Nume Fisier	Nazwa pliku	Název souboru		Nome do Arquivo	Nome do Ficheirp	Faili Nimi	Nom du fichier	Nom du fichier	파일 이름	文件名称	文件名稱	Ime fajla	Имя файла	Dosya ismi	Tiedoston nimi	Име на файл	Назва файлу	Datei Name	Nom del fitxer	Nome del File	ファイル名	Failo Pavadimas	اسم الملف	Файл атауы	Filnavn	File name	फ़ाइल का नाम	ชื่อไฟล์	nama file	ფაილის სახელი	Faila Nosaukums	Tên File	Όνομα Αρχείου	Імя файла	Názov súboru	Fil namn	نام فایل
Save	Save	Mentés	Redden	Guardar	Salveaza	Zapisz	Uložit		Salvar	Guardar	Salvesta	Enregistrer	Enregistrer	저장	储存	儲存	Sačuvaj	Сохранить	Kaydet	Tallenna	Запазване	Зберегти	Speichern	Desa	Salva	保存する	Išsaugoti	حفظ	Сақтау	Lagre	I-save	बचाना	บันทึก	simpan	შენახვა	Saglabāt	Lưu	Αποθήκευση Αρχείου	Захаваць	Uložiť	Spara	ذخیره
Select a file to continue	Select a file to continue	Válassz ki egy fájlt a folytatáshoz	Selecteer een bestand om door te gaan	Selecciona un archivo para continuar	Selectați un fișier pentru a continua	Wybierz plik aby kontynuować	Vyber soubor pro pokračování		Selecionar arquivo para continuar	Selecionar Ficheiro para continuar	Vali fail et jätkada	Choisir un fichier pour continuer	Choisir un fichier pour continuer	계속 할 파일을 선택하세요	选择一个文件以继续	選擇一個文件以繼續	Izaberi fajl da bi nastavio	Для продолжения выберите файл	Devam etmek için dosya seç	Valitse tiedosto jatkaaksesi	Изберете файл, за да продължите	Виберіть файл, щоб продовжити	Wähle eine Datei aus, um fortzufahren	Selecciona un fitxer per continuar	Seleziona un file per continuare	続行するファイルを選択してください	Pasirinkite failą, kad galėtumėte tęsti	حدد ملف للمتابعة	Жалғастыру үшін файлды таңдаңыз	Velg en fil for å fortsette	Pumili ng file na kokopyahin	जारी रखनेके लि ए एक फ़ाइल का चयन करें	เลือกไฟล์เพื่อดำเนินการต่อ	pilih file untuk melanjutkan	გასაგრძელებლად აირჩიეთ ფაილი	Izvēlies failu lai turpinātu	Chọn một tệp để tiếp tục	Επιλέξτε ένα αρχείο για να συνεχίσετε	Выберыце файл для працягу	Vyber súbor pre pokračovanie	Välj fil för att fortsätta	برای ادامه فایلی را انتخاب کنید
Clear	Clear	Minden törlése	Duidelijk	Limpiar	Clar	Wyczyść	Smazat		Limpar	Limpar	Puhasta	Dégager	Dégager	분명한	清除	清除	Očisti	Очистить	Temiz	Tyhjennä	Чисто	Очистити	Löschen	Clar	Pulisci	クリア	Ištrinti	صافي	Таза	Fjern	Malinaw	साफ़	ค่าเริ่มต้น	bersih	გასუფთავება	Notīrīt	Dọn	Εκκαθάριση	Ясна	Vymazať	Ränsa	پاک کردن
Mechanical Keyboard	Mechanical Keyboard	Mechanikus Billenytűzet	Mechanisch toetsenbord	Teclado mecánico	Tastatură Mecanică	Klawiatura mechaniczna	Mechanická klávesnice		Teclado Mecânico	Teclado Mecânico	mehaaniline klaviatuur	Clavier Méchanique	Clavier Méchanique	기계식 키보드	机械键盘	機械鍵盤	Mehanička tastatura	Механическая клавиатура	Mekanik klavye	Mekaaninen näppäimistö	Механична клавиатура	Механічна клавіатура	Mechanische Tastatur	Teclat mecànic	Tastiera Meccanica	メカニカルキーボード	Mechaninė Klaviatūra	لوحة مفاتيح ميكانيكية	Механикалық пернетақта	Mekanisk tastatur	mekanikal na keyboard	मकै ेनि कल कीबोर	คีย์บอร์ดเกมมิ่ง	Keyboard Mekanik	მექანიკური კლავიატურა	Mehāniskā Klaviatūra	Bàn Phím Cơ	Μηχανικό Πληκτρολόγιο	Механічная клавіятура	Mechanická klávesnica	Mekaniskt tagenbord	صفحه کلید مکانیکی
Tip: Click on enemies to kill them	Tip: Click on enemies to kill them	Tipp: Clickelj az ellenségre hogy megöld	Tip: klik op vijanden om ze te doden	Consejo: Toca a los enemigos para matarlos	Sfat: Faceți clic pe inamici pentru a-i ucide	Rada: Klikaj na przeciwników aby ich zabijać	Tip: Klikni na nepřítele, aby jsi ho  zabil		Dica: Clique nos inimigos para mata-los	Dica: Clica nos inimigos para mata-los	Näpunäide: Vaenlaste tapmiseks klõpsake nende peale	Conseil: Clique sur les énemies pour les tuer	Conseil: Cliquez sur les ennemis pour les tuer	클릭하여 적을 죽이세요	提示：点击敌人消灭他们	提示：點擊敵人消滅他們	Savet: Klikni na neprijatelje da bi ih uništio	Подсказка: кликайте по врагам, чтобы убить их	İpucu: Düşmanları öldürmek için onlara tıklamalısın	Vinkki: Napsauta vihollisia tappaaksesi heidät	Съвет: щракнете върху врагове, за да ги убиете	Підказка: натискайте на ворогів, щоб вдарити їх	Tipp: Klicke auf Feinde, um sie zu töten	Consell: Feu clic als enemics per matar-los	Suggerimento: Tocca i nemici per ucciderli	ヒント：敵をクリックして殺します	Patarimas: Spauskite ant priešų, kad juos nužudytumėte.	نصيحة: انقر على الأعداء لقتلهم	Кеңес: жауларды өлтіру үшін басыңыз	Tips: klikk på fiender for å drepe dem	Tip: Mag-click sa mga kaaway para patayin sila,	यक्तिुक्ति : दश्ुमनों को मारनेके लि ए उन पर क्लि क करें	เคล็ดลับ: คลิกที่ศัตรูเพื่อฆ่าพวกมัน	Tips:Klik pada musuh untuk membunuh mereka	მინიშნება: დააჩირეთ მოწინააღმდეგეს მოსაკლავად	Tips: Spied uz ienaidniekiem lai viņus nogalinātu	Mẹo: Nhấp vào kẻ thù để giết chúng	Συμβουλή: Κάντε κλικ στους εχθρούς για να τους σκοτώσετε	Савет: націсніце на ворагаў, каб забіць іх	Tip:Klikni na nepriateľov aby si ich zabil	Tips: Klicka på fienderna för att dlda dom	راهنما: برای کشتن دشمنان روی آنها کلیک کنید
Remove with hammer	Remove with hammer	Kalapáccsal távolítsd el	Verwijderen met hamer	Quitar con el martillo	Scoateți cu Ciocanul	Usuń używając młotka	Odebrat kladivem		Remova com o martelo	Remove com o martelo	Eemalda haamriga	Enlever avec le marteau	Retirer avec le marteau	망치로 없애기	使用锤子移除	使用錘子移除	Ukloni s čekićem	Убрать с помощью молотка	Çekiçle kaldır	Poista vasaralla	Премахни със чук	Відкріпити за допомогою молотка	Entferne mit Hammer	Retirar amb un martell	Rimuovi utilizzando un martello	ハンマーで取り除く	Pašalinti plaktuku	إزالة بمطرقة	Балғамен алып тастаңыз	Bruk hammer for å fjerne	Alisin gamit ang martilyo	हथौड़ेसेनि कालें	ใช้ค้อนเพื่อถอด	hapus dengan palu	მოსაცილებლად გამოიყებე ჩაქუჩი	Noņemt ar āmuru	Loại bỏ bằng búa	Aφαιρέστε με το χέρι	Зняць малатком	Odstráň s kladivom	Ta bort med hammare	با چکش بردارید
Select Example	Select Example	Válassz példát	Selecteer voorbeeld	Seleccionar ejemplo	Selectați Exemplu	Wybierz przykład	Vybrat příklad		Selecionar Exemplo	Selecionar Exemplo	Vali Näide	Sélectionner exemple	Sélectionner exemple	예시 선택	选择例子	選擇例子	Izaberi primer	Выберите пример	Örnek seç	Valitse esimerkki	Изберете Пример	Виберіть зразок	Beispiel auswählen	Selecciona un exemple	Seleziona Esempio	例を選択	Pasirinkite pavyzdį	حدد المثال	Мысал таңдаңыз	Velg eksempel	Pumili ng halimbawa	उदाहरण चनु ें	เลือกตัวอย่าง	pilih contoh	აირჩიეთ მაგალითი	Izvēlies Piemēru	Chọn Ví Dụ	Επιλογή Παραδείγματος	Выберыце Прыклад	Vyber príklad	Välj exempel	نمونه ای را انتخاب کنید
Wall Mount	Wall Mount	Fali konzol	Muurbevestiging	Montar en pared	Montare pe Perete	Mocowanie ścienne	Nástěnný držák		Suporte de Parede	Suporte de Parede	seinakinnitus	Rack mural	Support mural	벽걸이 거치대	壁挂架	壁掛架	Zidni nosač	Настенное крепление	Duvara montaj	Seinä kiinitin	Стойка за стена	Настінне кріплення	Wandhalterung	Muntatge en paret	Fissaggio a parete	壁掛けモニタースタンド	Sieninis Laikiklis	جدار جبل	Қабырғаға аспа	Veggfeste	Mount sa dingding	दीवार पर चढ़ना	ขาแขวน	pemasangan di dinding	კედლის მისაკრობი	Sienas Stiprinājums	Giá Treo Tường	Βάση Τοίχου	Насценнае мацаванне	Mástenný držiak	Vägg montering	نگهدارنده دیواری
